b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
32,-12,-10,13,-10,0,12,-4.95610524712853e-312,33.03572100777826,0.5100316841556046
32,-12,-10,13,-3,0,12,-5.006156435899728e-312,33.19823048776463,0.5650290876942536
32,-12,-10,13,0,0,12,-4.87945863674497e-312,32.7852347223988,0.5219656019104406
32,1,7,-19,-1,0,18,-0.008840280326935894,33.77034893033299,0.9780712528137188
32,1,7,-19,-5,0,18,-0.008862577503706837,33.79408473850379,0.9984297152695607
32,1,5,-19,-8,0,18,-0.008856195645709742,33.78729530337583,0.9925910204685834
32,1,6,-19,9,0,18,-0.008848231554946165,33.77881726548038,0.9853172922856351
32,1,7,-19,3,0,18,-0.008840280326958768,33.77034893035736,0.9780712528345505
32,1,5,-19,19,0,18,-0.008837633058000186,33.76752861102683,0.9756623809891631
32,1,6,-19,10,0,18,-0.00884823155494663,33.77881726548087,0.9853172922860551
32,1,5,-19,16,0,18,-0.03960424093075483,33.75245906526969,0.9794444206302254
32,1,5,-19,2,0,18,-0.008864172643176453,33.79578307666138,0.9998921080257872
32,1,5,-19,-3,0,18,-0.01086715316423383,33.75344010736266,0.9647427893294849
32,1,7,-19,-18,0,18,-0.00886257750369269,33.79408473848874,0.9984297152566054
32,1,7,-19,-2,0,18,-0.008795991064456518,33.72310475083505,0.9380220612679564
32,1,6,-19,-10,0,18,-0.0290468157879162,33.77314861877276,0.9911006028057857
32,1,5,-19,5,0,18,-0.03593127537868279,33.75340535759734,0.9782171832444342
32,1,6,-19,-4,0,18,-0.008820020116989197,33.74875166491744,0.9596819028043559
32,1,-15,-14,11,0,7,-0.05330762496078913,33.56318048968854,0.8370679081327905
32,1,-16,-14,-8,0,7,-0.05273225569393353,33.41877854944393,0.7345032644756356
32,1,-16,-14,-4,0,7,-0.05281137128003872,33.43868223392678,0.7478196089184374
32,1,-15,-14,-17,0,7,-0.05273585972052002,33.41968557410502,0.7351036245197585
32,1,-17,-14,6,0,7,-0.2610543963272,33.41521000268289,0.899859041484779
32,1,-16,-14,-7,0,7,-0.05306932425365953,33.50347115882492,0.7930795155167379
32,1,-15,-14,-7,0,7,-0.05272584976326889,33.4171662915068,0.7334376663298549
32,1,-17,-14,15,0,7,-0.05272587727690027,33.41717515939552,0.7334435161529073
32,1,-17,-14,18,0,7,-0.05272608996034119,33.41722868961052,0.7334788644874786
32,1,-15,-14,-16,0,7,-0.0527264673729071,33.41732368016374,0.7335415963149172
32,1,-15,-14,17,0,7,-0.05403329902584007,33.74416788470547,0.9806150601637411
32,1,-17,-14,8,0,7,-0.05390899400769261,33.71325645161468,0.9551975815530508
32,1,-17,-14,10,0,7,-0.05281671630702842,33.44002831325308,0.7487307364498298
32,1,-17,-14,4,0,7,-0.262136392070186,33.47014201686183,0.9312158427281106
32,1,-17,-14,9,0,7,-0.05276216040755558,33.42630564237183,0.7395043794260737
32,1,-15,-14,-10,0,7,-0.05272594338013702,33.41718985391934,0.7334532251857222
32,1,-15,-14,-15,0,7,-0.05403329111393497,33.74416788452659,0.980615055546036
32,1,-16,-14,-5,0,7,-0.0527450718671053,33.42200384847637,0.7366409435845984
32,1,-17,-14,7,0,7,-0.05272584979177645,33.41716629868186,0.7334376710676636
32,1,-15,-14,12,0,7,-0.05317742291297742,33.53057371188252,0.8127976077858177
32,1,-17,-14,17,0,7,-0.05272585290702163,33.41716902574287,0.7334394659753912
32,1,-15,-14,-19,0,7,-0.05272606848810367,33.41722134228718,0.7334740184165333
32,1,-15,-14,-11,0,7,-0.05298309989575714,33.48183454922277,0.7776573668267078
32,1,-16,-14,6,0,7,-0.0527259496355252,33.41719142833609,0.7334542648280689
32,1,-16,-14,-11,0,7,-0.05272584300268422,33.41716653292063,0.7334378199216532
32,1,-15,-14,9,0,7,-0.05277392717442573,33.42926405846406,0.741481690019656
32,1,-16,-14,-6,0,7,-0.0538381883305608,33.69562946759404,0.9408508057711246
32,1,-17,-14,19,0,7,-0.05272584570682774,33.41716721352642,0.7334382693369782
32,1,-16,-14,-18,0,7,-0.05272704288281912,33.41746852894733,0.7336372679054545
32,1,-16,-14,7,0,7,-0.07130864608451043,33.41726520886602,0.7476054449499029
32,1,-15,-14,18,0,7,-0.2610563162358578,33.41530444458943,0.8999110611822557
32,1,-16,-14,-19,0,7,-0.05272584182983489,33.41716623772622,0.7334376249999829
32,1,-16,-14,-17,0,7,-0.05272584182980303,33.4171662377182,0.7334376249946858
32,1,-16,-14,-16,0,7,-0.05272584205786328,33.41716629511868,0.7334376628971492
32,1,-15,-14,-8,0,7,-0.05272584954946234,33.41716623769384,0.7334376307962868
32,1,-15,-14,-4,0,7,-0.05272584525070724,33.41716709872546,0.7334381935319683
32,1,-16,-14,10,0,7,-0.2610729580880006,33.41615026722761,0.9003767906075362
32,1,-15,-14,19,0,7,-0.05272585932347996,33.41716869771557,0.7334392551906753
32,1,-15,-14,1,0,7,-0.05272588082631535,33.4171741097617,0.7334428288736162
32,1,-16,-14,9,0,7,-0.261054458194602,33.41521000786665,0.8998590965749979
32,1,-15,-14,-5,0,7,-0.05272584185271088,33.41716624348387,0.7334376288018514
